Pais,Lmundial,Leconomica,Lprensa,Idemocracia
Mongolia,Libre,Mayormente no libre,Moderada,Endeble
Montenegro,Parcialmente libre,Moderadamente libre,Moderada,Hibrido
Morocco,Parcialmente libre,Moderadamente libre,Dificil,Hibrido
Mozambique,Parcialmente libre,Mayormente no libre,Moderada,Autoritario
Namibia,Libre,Moderadamente libre,Satisfactoria,Endeble
Nepal,Parcialmente libre,Mayormente no libre,Dificil,Hibrido
Netherlands,Libre,Mayormente libre,Buena,Democracia
New Zealand,Libre,Libre,Buena,Democracia
Nicaragua,No libre,Mayormente no libre,Dificil,Autoritario
Niger,Parcialmente libre,Mayormente no libre,Moderada,Autoritario
Nigeria,Parcialmente libre,Mayormente no libre,Dificil,Hibrido
North Macedonia,Parcialmente libre,Moderadamente libre,Moderada,Hibrido
Norway,Libre,Mayormente libre,Buena,Democracia
Oman,No libre,Moderadamente libre,Dificil,Autoritario
Pakistan,Parcialmente libre,Mayormente no libre,Dificil,Hibrido
Panama,Libre,Moderadamente libre,Moderada,Endeble
Papua New Guinea,Parcialmente libre,Mayormente no libre,Satisfactoria,Endeble
Paraguay,Parcialmente libre,Moderadamente libre,Moderada,Endeble
Peru,Libre,Moderadamente libre,Moderada,Endeble
Philippines,Parcialmente libre,Moderadamente libre,Dificil,Endeble
Poland,Libre,Moderadamente libre,Moderada,Endeble
Portugal,Libre,Moderadamente libre,Buena,Democracia
Qatar,No libre,Mayormente libre,Dificil,Autoritario
Romania,Libre,Moderadamente libre,Moderada,Endeble
Russia,No libre,Moderadamente libre,Dificil,Autoritario
Rwanda,No libre,Mayormente libre,Dificil,Autoritario
Saudi Arabia,No libre,Moderadamente libre,Muy seria,Autoritario
Senegal,Parcialmente libre,Mayormente no libre,Satisfactoria,Hibrido
Serbia,Parcialmente libre,Moderadamente libre,Moderada,Endeble
Sierra Leone,Parcialmente libre,Reprimido,Moderada,Hibrido
Singapore,Parcialmente libre,Libre,Muy seria,Endeble
Slovakia,Libre,Moderadamente libre,Satisfactoria,Endeble
Slovenia,Libre,Moderadamente libre,Satisfactoria,Endeble
South Africa,Libre,Mayormente no libre,Satisfactoria,Endeble
Spain,Libre,Moderadamente libre,Satisfactoria,Democracia
Sri Lanka,Parcialmente libre,Mayormente no libre,Dificil,Endeble
Sudan,No libre,Reprimido,Muy seria,Autoritario
Suriname,Libre,Reprimido,Satisfactoria,Endeble
Sweden,Libre,Mayormente libre,Buena,Democracia
Switzerland,Libre,Libre,Buena,Democracia
Taiwan,Libre,Mayormente libre,Satisfactoria,Endeble
Tajikistan,No libre,Mayormente no libre,Muy seria,Autoritario
Tanzania,Parcialmente libre,Moderadamente libre,Dificil,Hibrido
Thailand,Parcialmente libre,Moderadamente libre,Dificil,Endeble
Togo,Parcialmente libre,Mayormente no libre,Moderada,Autoritario
Trinidad and Tobago,Libre,Mayormente no libre,Satisfactoria,Endeble
Tunisia,Libre,Mayormente no libre,Moderada,Endeble
Turkey,No libre,Moderadamente libre,Dificil,Hibrido
Turkmenistan,No libre,Reprimido,Muy seria,Autoritario
Uganda,No libre,Mayormente no libre,Dificil,Hibrido
Ukraine,Parcialmente libre,Mayormente no libre,Moderada,Hibrido
United Arab Emirates,No libre,Mayormente libre,Dificil,Autoritario
United Kingdom,Libre,Mayormente libre,Satisfactoria,Democracia
United States,Libre,Mayormente libre,Satisfactoria,Endeble
Uruguay,Libre,Moderadamente libre,Satisfactoria,Democracia
Uzbekistan,No libre,Mayormente no libre,Dificil,Autoritario
Venezuela,No libre,Reprimido,Dificil,Autoritario
Vietnam,No libre,Mayormente no libre,Muy seria,Autoritario
Zambia,Parcialmente libre,Mayormente no libre,Dificil,Hibrido
Zimbabwe,Parcialmente libre,Reprimido,Dificil,Autoritario
